Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
338-1598-ND,CORNELL DUBILIER ELECTRONICS (CDE),SLPX223M035H4P3,KOD DISTRO,1,0,0,21 Weeks,CAP ALUM 22000UF 35V 20% SNAP,,RoHS Compliant,Lead free,Affected Nov-2011
WM1041-ND,MOLEX INC,0015311026,KOD DISTRO,4,0,0,6 Weeks,CONN HEADER 2POS .093 VERT TIN,,RoHS Compliant,Lead free,Unaffected Dec-2009
WM1602-ND,MOLEX INC,0019091029,KOD DISTRO,8,0,0,5 Weeks,CONN RECEPTACLE 2POS .093,,RoHS Compliant,Lead free,Unaffected Dec-2009
338-1569-ND,CORNELL DUBILIER ELECTRONICS (CDE),SLPX103M063E9P3,KOD DISTRO,1,0,0,21 Weeks,CAP ALUM 10000UF 63V 20% SNAP,,RoHS Compliant,Lead free,Affected Nov-2011
WM1103-ND,MOLEX INC,0002091119,KOD DISTRO,16,0,0,6 Weeks,CONN TERM FEMALE 18-22AWG TIN,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2009
WM10647-ND,MOLEX CONNECTOR CORPORATION,14-56-2032,KOD DISTRO,4,0,0,6 Weeks,CONN IDC 3POS .100 GOLD 24AWG,,RoHS Compliant,Lead free,Unaffected Jun-2014
WM7203-ND,MOLEX INC,0740991003,KOD DISTRO,4,0,0,8 Weeks,CONN HEADER .100 VERT 3POS SMD,,RoHS Compliant,Lead free,Unaffected Dec-2009
490-1658-1-ND,MURATA ELECTRONICS (VA),GRM21BR72A223KA01L,KOD DISTRO,2,0,0,11 Weeks,CAP CER 0.022UF 100V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
