Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
A107762-ND,TE CONNECTIVITY AMP,2008571-2,KOD DRIVER,1,0,0,11 Weeks,CONN RECEPT HOUSING,,RoHS Compliant,Not applicable,Not Available
A33204CT-ND,TE CONNECTIVITY AMP (VA),2-1445096-2,KOD DRIVER,1,0,0,14 Weeks,CONN HEADER 3MM 2POS GOLD SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected
907K-ND,KEYSTONE ELECTRONICS,907,KOD DRIVER,2,0,0,4 Weeks,TERMINAL LOCKWASHER LUG,,RoHS Compliant,Lead free,Unaffected Jun-2014
4671K-ND,KEYSTONE ELECTRONICS,4671,KOD DRIVER,1,0,0,4 Weeks,INSULATOR MICA .800X.520" PLAST,,RoHS Compliant,Lead free,Unaffected Jun-2014
BA08CC0WFP-E2DKR-ND,ROHM SEMICONDUCTOR(VA),BA08CC0WFP-E2,KOD DRIVER,1,0,0,10 Weeks,IC REG LDO 8V 1A TO252-5,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
478-3876-6-ND,AVX CORPORATION (VA),TAJB106M020RNJ,KOD DRIVER,1,0,0,13 Weeks,CAP TANT 10UF 20V 20% 1210,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
WM7203-ND,MOLEX INC,0740991003,KOD DRIVER,3,0,0,8 Weeks,CONN HEADER .100 VERT 3POS SMD,,RoHS Compliant,Lead free,Unaffected Dec-2009
WM10647-ND,MOLEX CONNECTOR CORPORATION,14-56-2032,KOD DRIVER,2,0,0,6 Weeks,CONN IDC 3POS .100 GOLD 24AWG,,RoHS Compliant,Lead free,Unaffected Jun-2014
S9341-ND,SULLINS CONNECTOR SOLUTIONS,NPC02SXON-RC,KOD DRIVER,1,0,0,2-4 Weeks,CONN JUMPER SHORTING .100" GOLD,,RoHS Compliant,Lead free,Unaffected Dec-2013
ISL43210AIHZ-T7ADKR-ND,INTERSIL (VA),ISL43210AIHZ-T7A,KOD DRIVER,1,0,0,8 Weeks,IC SWITCH SPDT SOT23-6,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
RHM43.2BBDKR-ND,ROHM SEMICONDUCTOR (PASSIVE) (VA),MCR100JZHF43R2,KOD DRIVER,1,0,0,6-8 Weeks,RES SMD 43.2 OHM 1% 1W 2512,Non-Cancelable/Non-Returnable,RoHS Compliant,Lead free,Unaffected Jun-2012
A30306-ND,TE CONNECTIVITY AMP,794610-3,KOD DRIVER,2,0,0,10 Weeks,CONN SOCKET 20-24AWG GOLD CRIMP,Alternate Packaging Exists,RoHS non-compliant,Contains lead,Unaffected Aug-2011
