Source:,/home/kleinjt/repos/SuperDARN_Transmitter/tr_sonde/tr.sch
Date:,Sun 13 Apr 2014 12:56:55 PM AKDT
Tool:,eeschema (2014-03-16 BZR 4752)-product
Component Count:,87

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DIGIKEYPN
12,2,"D2, D4",MA4P4006F-1091T,device:DIODE,melf-1072:MELF-1072,,
13,2,"D3, D5",MA4P7006F-1072T,device:DIODE,melf-1072:MELF-1072,,
14,3,"J1, J2, J3",SMA,sma:SMA,sma:sma,,
15,2,"K1, K2",CONN_3,conn:CONN_3,connect:SIL-3,,
16,6,"L1, L2, L3, L4, L5, L6",22uH,device:INDUCTOR,smd_capacitors:c_1210,,
17,2,"Q3, Q4",STD2NK90ZT4,device:MOSFET_N,to252:TO252-3,,
18,6,"R1, R12, R14, R18, R19, R3",10k,device:R,smd_capacitors:c_0805,,
19,1,R10,150,device:R,smd_capacitors:c_0805,,
20,3,"R11, R22, R25",470,device:R,smd_capacitors:c_0805,,
21,4,"R13, R2, R4, R5",1k,device:R,smd_capacitors:c_0805,,
22,1,R15,RVAR,device:RVAR,smd_capacitors:c_1210,,
23,6,"R16, R17, R27, R28, R6, R7",20k,device:R,smd_capacitors:c_0805,,
24,4,"R20, R23, R24, R26",22,device:R,smd_capacitors:c_0805,,
25,1,R21,330,device:R,smd_capacitors:c_0805,,
26,2,"R8, R9",0,device:R,smd_capacitors:c_0805,,
27,1,RV1,5K,device:POT,connect:SIL-3,,
28,1,U1,L6388E,l6388e:L6388E,smd_dil:so-8,,
29,1,U2,LT1631,lt1631:LT1631,smd_dil:so-14,,
30,1,U3,R12-100B,tr-cache:Rxx-B,dip_sockets:DIP-24__600,,
